"imdbId","title","releaseYear","releaseDate","genre","writers","actors","directors","sequel","hitFlop"
"tt0118578","Albela","2001","20 Apr 2001","Romance","Honey Irani (screenplay) | Honey Irani (story) | Javed Siddiqui (dialogue)","Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar","Deepak Sareen","0","2"
"tt0169102","Lagaan: Once Upon a Time in India","2001","08 May 2002","Adventure | Drama | Musical","Ashutosh Gowariker (story) | Ashutosh Gowariker (screenplay) | Kumar Dave (screenplay) | Sanjay Dayma (screenplay) | K.P. Saxena (dialogue)","Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne","Ashutosh Gowariker","0","6"
"tt0187279","Meri Biwi Ka Jawab Nahin","2004","02 Jul 2004","Action | Comedy","N/A","Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde","Pankaj Parashar | S.M. Iqbal","0","1"
"tt0222024","Hum Tumhare Hain Sanam","2002","24 May 2002","Drama | Romance","K.S. Adiyaman | Arun Kumar (assistant dialogue) | Ashok Mehta (assistant dialogue) | Reema Rakesh Nath (dialogue)","Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri","K.S. Adiyaman","0","4"
"tt0227194","One 2 Ka 4","2001","30 Mar 2001","Action | Comedy | Drama","Sanjay Chhel | Raaj Kumar Dahima (screenplay) | Manoj Lalwani (screenplay)","Shah Rukh Khan | Juhi Chawla | Jackie Shroff | Nirmal Pandey","Shashilal K. Nair","0","1"
"tt0238936","Devdas","2002","12 Jul 2002","Musical | Romance","Saratchandra Chatterjee (based on the novel by) | Prakash Kapadia (screenplay) | Sanjay Leela Bhansali (screenplay) | Prakash Kapadia (dialogue)","Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff","Sanjay Leela Bhansali","0","6"
"tt0247911","Aap Mujhe Achche Lagne Lage","2002","19 Apr 2002","Action | Drama | Romance","Robin Bhatt (story) | Girish Dhamija (dialogue) | Sanjeev Duggal (story)","Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari","Vikram Bhatt","0","2"
"tt0248126","Kabhi Khushi Kabhie Gham...","2001","14 Dec 2001","Drama | Musical | Romance","Karan Johar | Sheena Parikh (screenplay)","Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol","Karan Johar","0","8"
"tt0248216","Na Tum Jaano Na Hum","2002","10 May 2002","Comedy | Drama | Musical","Pratibha Acharya (dialogue) | Arjun Sablok","Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath","Arjun Sablok","0","1"
"tt0248617","Yaadein...","2001","27 Jun 2001","Musical | Drama | Romance","Subhash Ghai (dialogue) | Subhash Ghai (screenplay) | Amrik Gill (dialogue) | Aatish Kapadia (screenplay) | Anuradha Tiwari (screenplay)","Jackie Shroff | Hrithik Roshan | Kareena Kapoor | Amrish Puri","Subhash Ghai","0","2"
"tt0255713","Zubeidaa","2001","19 Jan 2001","Adventure | Biography | Drama","Khalid Mohamed (original story and screenplay) | Javed Siddiqui (dialogue)","Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor","Shyam Benegal","0","1"
"tt0256692","Chori Chori Chupke Chupke","2001","09 Mar 2001","Drama | Musical | Romance","Shyam Goel (screenplay) | Javed Siddiqui (dialogue) | Neeraj Vora (story)","Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri","Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla","0","5"
"tt0265148","Main Prem Ki Diwani Hoon","2003","27 Jun 2003","Musical | Drama | Romance","Sooraj R. Barjatya","Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever","Sooraj R. Barjatya","0","2"
